transaction_id,customer_id,merchant_id,transaction_timestamp,amount_inr,currency,payment_channel,merchant_category,location,device_type,failed_attempts,risk_level,transaction_status,is_international,account_age_days,device_trust_score,is_fraud
TXN000001,CUST02419,MER0217,2026-01-24 03:26:00,1400.54,INR,UPI,Shopping,Delhi,Mobile,0,Medium,Approved,0,2070,87,0
TXN000002,CUST00027,MER0082,2026-11-04 17:43:00,4986.48,INR,Net Banking,Food,Mumbai,Mobile,1,Low,Approved,0,3128,58,0
TXN000003,CUST00323,MER0283,2026-08-02 11:39:00,13078.18,INR,Net Banking,Utilities,Delhi,Tablet,2,Low,Declined,0,285,69,0
TXN000004,CUST01495,MER0084,2026-09-27 13:22:00,2083.15,INR,Net Banking,Travel,Chennai,Tablet,0,Low,Approved,0,2800,13,0
TXN000005,CUST02282,MER0113,2026-08-25 03:15:00,4411.6,INR,UPI,Travel,Hyderabad,Laptop,1,Medium,Declined,0,1644,49,0
TXN000006,CUST01011,MER0288,2026-07-11 07:44:00,8109.72,INR,Wallet,Utilities,Kolkata,Laptop,1,Low,Approved,0,899,83,0
TXN000007,CUST01730,MER0306,2026-02-16 06:13:00,1285.28,INR,Wallet,Electronics,Ahmedabad,Tablet,1,High,Approved,0,1030,20,0
TXN000008,CUST00648,MER0233,2026-01-03 08:42:00,10008.66,INR,Net Banking,Utilities,Mumbai,Tablet,0,High,Approved,0,436,83,0
TXN000009,CUST02173,MER0001,2026-08-25 01:02:00,1613.18,INR,Wallet,Shopping,Bengaluru,Laptop,1,Medium,Pending,0,3600,98,0
TXN000010,CUST02182,MER0065,2026-04-04 11:48:00,6556.29,INR,Wallet,Utilities,Mumbai,Laptop,0,High,Approved,0,2162,11,1
TXN000011,CUST01530,MER0225,2026-11-25 18:17:00,3158.34,INR,UPI,Travel,Delhi,Mobile,0,Medium,Approved,0,1385,26,0
TXN000012,CUST01354,MER0037,2026-06-23 07:25:00,4407.44,INR,Net Banking,Healthcare,Ahmedabad,Mobile,0,Low,Declined,0,2209,8,0
TXN000013,CUST01766,MER0182,2026-11-05 10:34:00,16002.33,INR,Wallet,Electronics,Hyderabad,Tablet,0,Low,Approved,0,2677,53,0
TXN000014,CUST00752,MER0143,2026-12-03 21:00:00,1366.13,INR,Card,Education,Bengaluru,Laptop,0,High,Approved,0,3310,32,1
TXN000015,CUST00682,MER0209,2026-12-20 15:11:00,3933.54,INR,Wallet,Travel,Kolkata,Mobile,5,Medium,Approved,0,675,12,0
TXN000016,CUST00778,MER0152,2026-06-08 12:35:00,7785.9,INR,UPI,Utilities,Hyderabad,Tablet,0,Low,Approved,1,1285,72,0
TXN000017,CUST02438,MER0035,2026-06-21 06:29:00,4660.62,INR,Wallet,Shopping,Delhi,Tablet,2,Low,Approved,0,2436,66,0
