transaction_id,customer_id,merchant_id,transaction_timestamp,amount_inr,currency,payment_channel,merchant_category,location,device_type,failed_attempts,risk_level,transaction_status,is_international,account_age_days,device_trust_score,is_fraud
TXN000001,CUST02419,MER0217,24-01-2026 03:26,1400.54,INR,UPI,Shopping,Delhi,Mobile,0,Medium,Approved,0,2070,87,0
TXN000002,CUST00027,MER0082,04-11-2026 17:43,4986.48,INR,Net Banking,Food,Mumbai,Mobile,1,Low,Approved,0,3128,58,0
TXN000003,CUST00323,MER0283,02-08-2026 11:39,13078.18,INR,Net Banking,Utilities,Delhi,Tablet,2,Low,Declined,0,285,69,0
TXN000004,CUST01495,MER0084,27-09-2026 13:22,2083.15,INR,Net Banking,Travel,Chennai,Tablet,0,Low,Approved,0,2800,13,0
TXN000005,CUST02282,MER0113,25-08-2026 03:15,4411.6,INR,UPI,Travel,Hyderabad,Laptop,1,Medium,Declined,0,1644,49,0
TXN000006,CUST01011,MER0288,11-07-2026 07:44,8109.72,INR,Wallet,Utilities,Kolkata,Laptop,1,Low,Approved,0,899,83,0
TXN000007,CUST01730,MER0306,16-02-2026 06:13,1285.28,INR,Wallet,Electronics,Ahmedabad,Tablet,1,High,Approved,0,1030,20,0
TXN000008,CUST00648,MER0233,03-01-2026 08:42,10008.66,INR,Net Banking,Utilities,Mumbai,Tablet,0,High,Approved,0,436,83,0
TXN000009,CUST02173,MER0001,25-08-2026 01:02,1613.18,INR,Wallet,Shopping,Bengaluru,Laptop,1,Medium,Pending,0,3600,98,0
TXN000010,CUST02182,MER0065,04-04-2026 11:48,6556.29,INR,Wallet,Utilities,Mumbai,Laptop,0,High,Approved,0,2162,11,1
TXN000011,CUST01530,MER0225,25-11-2026 18:17,3158.34,INR,UPI,Travel,Delhi,Mobile,0,Medium,Approved,0,1385,26,0
TXN000012,CUST01354,MER0037,23-06-2026 07:25,4407.44,INR,Net Banking,Healthcare,Ahmedabad,Mobile,0,Low,Declined,0,2209,8,0
TXN000013,CUST01766,MER0182,05-11-2026 10:34,16002.33,INR,Wallet,Electronics,Hyderabad,Tablet,0,Low,Approved,0,2677,53,0
TXN000014,CUST00752,MER0143,03-12-2026 21:00,1366.13,INR,Card,Education,Bengaluru,Laptop,0,High,Approved,0,3310,32,1
